year,maaji_千トン
1957,55.72
1958,40.783
1959,42.298
1960,41.574
1961,44.333
1962,46.199
1963,67.871
1964,38.3
1965,29.597
1966,21.122
1967,34.86
1968,49.392
1969,52.58
1970,50.636
1971,30.181
1972,27.436
1973,22.582
1974,28.93
1975,24.119
1976,17.272
1977,20.127
1978,11.092
1979,7.933
1980,9.582
1981,9.689
1982,9.971
1983,9.489
1984,10.608
1985,9.229
1986,26.126
1987,27.082
1988,20.255
1989,26.278
1990,36.78
1991,53.445
1992,50.759
1993,60.816
1994,67.486
1995,58.069
1996,99.417
1997,59.738
1998,58.37
1999,50.41
2000,77.091
2001,61.781
2002,40.916
2003,39.993
2004,42.819
2005,34.178
2006,29.439
2007,28.731
2008,30.138
2009,20.062
2010,22.472
2011,21.4
2012,19.185
2013,19.912
2014,20.517
2015,17.126
2016,15.535
2017,23.162
2018,15.196
2019,12.487
2020,14.241
2021,13.289
2022,12.51
2023,19.181
