年,資源量指標値
1979,0.61
1980,0.61
1981,0.62
1982,0.62
1983,0.61
1984,0.73
1985,0.65
1986,0.7
1987,0.69
1988,0.75
1989,0.74
1990,0.72
1991,0.75
1992,0.86
1993,0.91
1994,0.92
1995,0.85
1996,0.88
1997,0.95
1998,0.94
1999,0.8
2000,0.82
2001,0.81
2002,0.71
2003,0.84
2004,0.85
2005,1.03
2006,1.11
2007,1.22
2008,1.26
2009,1.31
2010,1.17
2011,1.53
2012,1.5
2013,1.39
2014,1.59
2015,1.77
2016,1.72
2017,1.55
2018,1.3
2019,1.27
2020,1.17
2021,1.24
2022,0.99
2023,1.0
2024,0.95
