年,資源量（千トン）,漁獲量（トン）,漁獲係数（漁獲量／資源量）,黒潮大蛇行の有無
1978,233.5,42998,0.1841,1
1979,302.2,57426,0.19,1
1980,201.9,65959,0.3267,0
1981,158.0,50607,0.3203,1
1982,151.7,47542,0.3134,1
1983,247.9,55228,0.2228,1
1984,220.9,90007,0.4075,1
1985,222.6,61435,0.276,0
1986,310.3,66062,0.2129,0
1987,352.5,62733,0.178,1
1988,460.4,68088,0.1479,1
1989,1144.1,87804,0.0767,0
1990,1966.8,215941,0.1098,1
1991,1433.5,202319,0.1411,0
1992,1282.7,178276,0.139,0
1993,1065.2,100487,0.0943,0
1994,1184.3,110428,0.0932,0
1995,1146.1,141716,0.1237,0
1996,1273.3,207890,0.1633,0
1997,1927.0,134464,0.0698,0
1998,2680.2,319371,0.1192,0
1999,2210.9,327997,0.1484,0
2000,2048.0,213116,0.1041,0
2001,2455.3,197928,0.0806,0
2002,2908.8,334399,0.115,0
2003,2820.6,408009,0.1447,0
2004,2238.1,401865,0.1796,1
2005,1696.0,237691,0.1401,1
2006,1664.2,303428,0.1823,0
2007,1299.8,242468,0.1865,0
2008,1354.9,209082,0.1543,0
2009,1543.8,240892,0.156,0
2010,1143.2,247629,0.2166,0
2011,949.1,159980,0.1686,0
2012,645.4,154459,0.2393,0
2013,543.2,156030,0.2872,0
2014,322.0,143984,0.4472,0
2015,188.4,66509,0.353,0
2016,192.5,77695,0.4036,0
2017,125.0,54281,0.4342,1
2018,92.7,29056,0.3134,1
2019,106.1,44337,0.4179,1
2020,139.7,57006,0.4081,1
2021,113.2,42203,0.3728,1
2022,130.0,40207,0.3093,1
2023,157.6,41233,0.2616,1
2024,299.0,49292,0.1649,1
