年,資源量（トン）,漁獲量（トン）,漁獲係数（漁獲量／資源量）,黒潮大蛇行の有無
1987,15718,5997,0.3815,1
1988,10945,4485,0.4098,1
1989,9272,3902,0.4208,0
1990,7219,3029,0.4196,1
1991,6887,3021,0.4387,0
1992,5197,2623,0.5047,0
1993,4027,2120,0.5264,0
1994,2891,1271,0.4396,0
1995,1977,1029,0.5205,0
1996,1112,603,0.5423,0
1997,922,442,0.4794,0
1998,688,199,0.2892,0
1999,1146,263,0.2295,0
2000,1459,512,0.3509,0
2001,2072,615,0.2968,0
2002,2730,1008,0.3692,0
2003,3692,1289,0.3491,0
2004,3133,1465,0.4676,1
2005,3030,1224,0.404,1
2006,3082,1283,0.4163,0
2007,2647,1082,0.4088,0
2008,2880,1113,0.3865,0
2009,3672,1382,0.3764,0
2010,3989,1436,0.36,0
2011,4535,1384,0.3052,0
2012,5639,1740,0.3086,0
2013,6279,1775,0.2827,0
2014,6950,2148,0.3091,0
2015,6941,2519,0.3629,0
2016,6351,2027,0.3192,0
2017,6088,2220,0.3647,1
2018,7139,2038,0.2855,1
2019,8615,2398,0.2784,1
2020,8374,2875,0.3433,1
2021,7211,2773,0.3846,1
2022,6772,2582,0.3813,1
2023,6301,2152,0.3415,1
2024,6537,1941,0.2969,1
