漁期年,資源量（万トン）,漁獲量（万トン）,漁獲係数（漁獲量／資源量）,黒潮大蛇行の有無
1981,129.1,29.5,0.2286,0
1982,134.5,24.7,0.1836,0
1983,136.9,28.0,0.2045,0
1984,130.7,28.3,0.2166,0
1985,121.2,28.0,0.2310,0
1986,109.4,21.2,0.1938,0
1987,105.9,26.6,0.2512,0
1988,97.8,25.6,0.2617,0
1989,101.2,21.3,0.2106,0
1990,98.8,18.5,0.1873,0
1991,97.5,18.2,0.1867,0
1992,99.3,17.8,0.1793,0
1993,108.0,18.3,0.1694,0
1994,101.9,20.8,0.2041,0
1995,116.1,20.4,0.1757,0
1996,121.0,14.8,0.1223,0
1997,127.3,21.2,0.1665,0
1998,118.4,26.5,0.2238,0
1999,106.6,25.5,0.2392,0
2000,97.7,21.0,0.2149,0
2001,121.2,13.0,0.1073,0
2002,115.1,10.9,0.0947,0
2003,97.6,14.7,0.1506,0
2004,92.3,18.1,0.1961,0
2005,115.4,15.8,0.1369,0
2006,124.7,14.3,0.1147,0
2007,135.3,15.4,0.1138,0
2008,136.6,15.5,0.1135,0
2009,143.7,17.2,0.1197,0
2010,140.7,17.5,0.1244,0
2011,142.3,17.2,0.1209,0
2012,127.2,15.6,0.1226,0
2013,102.9,15.6,0.1516,0
2014,86.7,15.4,0.1776,0
2015,76.4,12.0,0.1571,0
2016,80.7,10.0,0.1239,0
2017,87.9,9.3,0.1058,1
2018,112.8,7.7,0.0683,1
2019,89.5,9.0,0.1006,1
2020,92.2,9.7,0.1052,1
2021,89.9,11.2,0.1246,1
2022,87.3,7.9,0.0905,1
2023,73.2,5.8,0.0792,1
2024,98.0,4.6,0.0469,1
