漁期年,資源量（万トン）,漁獲量（万トン）,漁獲係数（漁獲量／資源量）,黒潮大蛇行の有無
1970,432.5,91.7,0.212,
1971,451.6,91.8,0.2033,
1972,485.6,68.7,0.1415,
1973,448.3,82.1,0.1831,
1974,419.5,92.5,0.2205,
1975,364.9,87.4,0.2395,1
1976,472.2,75.2,0.1593,1
1977,586.2,100.4,0.1713,1
1978,597.9,144.4,0.2415,1
1979,384.4,110.8,0.2882,1
1980,225,60.1,0.2671,0
1981,239.5,40.4,0.1687,1
1982,235.8,39.2,0.1662,1
1983,193.1,40.7,0.2108,1
1984,241.4,52,0.2154,1
1985,201.9,46,0.2278,0
1986,157.7,55.9,0.3545,0
1987,94.8,35.6,0.3755,1
1988,60,26.2,0.4367,1
1989,32.1,11.4,0.3551,0
1990,23.2,3.2,0.1379,1
1991,36.1,2.9,0.0803,0
1992,62.6,6,0.0958,0
1993,71.3,25,0.3506,0
1994,42.9,12.2,0.2844,0
1995,41.7,11.7,0.2806,0
1996,67.5,15.7,0.2326,0
1997,69.7,28.1,0.4032,0
1998,36.8,11.5,0.3125,0
1999,28.3,7.1,0.2509,0
2000,25.6,5.9,0.2305,0
2001,18.8,4.4,0.234,0
2002,28.8,3.3,0.1146,0
2003,39.1,6.6,0.1688,0
2004,80.3,12.9,0.1606,1
2005,87,19.5,0.2241,1
2006,83.2,24.8,0.2981,0
2007,67.7,15.8,0.2334,0
2008,66.8,15.5,0.232,0
2009,70.5,14.5,0.2057,0
2010,78.1,12.5,0.1601,0
2011,86.4,10.3,0.1192,0
2012,105,13,0.1238,0
2013,225.1,21.7,0.0964,0
2014,224.6,27.5,0.1224,0
2015,274.4,46.4,0.1691,0
2016,330.2,50.9,0.1541,0
2017,306.8,51.1,0.1666,1
2018,356.7,50.9,0.1427,1
2019,277.5,41.3,0.1488,1
2020,240.2,48.2,0.2007,1
2021,199.2,42.6,0.2139,1
2022,173.9,29.1,0.1673,1
2023,118.1,17.9,0.1516,1
2024,93,14.3,0.1538,1
