年,標準化CPUE,資源量（トン）,漁獲量（トン）,漁獲係数（漁獲量／資源量）,黒潮大蛇行の有無
1997,0.89,8900.0,2882,0.3238,0
1998,0.64,6400.0,2228,0.3481,0
1999,0.61,6100.0,2679,0.4392,0
2000,0.52,5200.0,1751,0.3367,0
2001,0.9,9000.0,3446,0.3829,0
2002,0.41,4100.0,2265,0.5524,0
2003,0.41,4100.0,1524,0.3717,0
2004,0.37,3700.0,1166,0.3151,1
2005,0.32,3200.0,811,0.2534,1
2006,0.45,4500.0,1559,0.3464,0
2007,0.52,5200.0,1994,0.3835,0
2008,0.71,7100.0,3453,0.4863,0
2009,0.56,5600.0,1388,0.2479,0
2010,0.65,6500.0,1946,0.2994,0
2011,0.62,6200.0,1398,0.2255,0
2012,2.07,20700.0,4042,0.1953,0
2013,1.58,15800.0,3714,0.2351,0
2014,1.44,14400.0,3838,0.2665,0
2015,0.8,8000.0,2123,0.2654,0
2016,0.76,7600.0,2150,0.2829,0
2017,1.01,10100.0,2852,0.2824,1
2018,1.56,15600.0,3370,0.216,1
2019,1.28,12800.0,3210,0.2508,1
2020,1.84,18400.0,3518,0.1912,1
2021,1.83,18300.0,3590,0.1962,1
2022,1.34,13400.0,3040,0.2269,1
2023,2.12,21200.0,3866,0.1824,1
2024,1.76,17600.0,2381,0.1353,1
